Comment,Alt,Homework,Result
He/She needs to improve the quality of his/her written work.,,1,
He/She needs to learn to use relevant historical facts accurately.,,,1
He/She needs to learn to work independently.,1,,
He/She needs to listen more carefully to instructions.,1,,
He/She needs to make a greater effort to complete his/her assignments.,1,,
He/She needs to revise more thoroughly for tests.,1,,
He/She needs to revise regularly.,,,1
He/She needs to revise rigorously for tests.,,,1
He/She needs to show more respect for his/her classmates.,1,,
He/She needs to show more respect for others.,1,,
He/She needs to socialize less in class.,1,,
He/She needs to take more care with the presentation of his/her work.,,1,
He/She needs to work harder next term to keep up with the rest of the class.,1,,
He/She needs to work harder.,1,,
He/She neglects his/her class work and homework.,,1,
He/She often completes assignments early.,,3,
He/She often does not submit his/her homework.,,1,
He/She pays inadequate attention in class.,1,,
"He/She presents his/her ideas clearly in written work, substantiating his/her opinions with details.",,3,
He/She presents his/her ideas clearly with enough detail to support his/her opinions.,,3,
He/She produces concise and detailed written work of a high calibre.,,3,
He/She puts a lot of effort into his/her daily work.,3,,
He/She puts very little effort into his/her daily work.,1,,
He/She rarely participates in class activities.,1,,
He/She regularly contributes to class discussions.,3,,
He/She responds quickly and thoughtfully in class.,3,,
He/She should ask clarification questions when needed.,3,,
He/She should ask teachers and/or classmates for help if needed.,2,,
He/She should expand his/her knowledge and understanding of this subject by reading more.,,,1
He/She should read more at home.,1,,
He/She should read more extensively to broaden his/her knowledge base.,1,,
He/She should read more in his/her leisure time.,1,,
He/She should seek extra help from the teacher.,1,,
He/She worked hard initially but has not made much of an effort recently.,2,,
He/She works well on assignments but needs to participate more in class discussions.,1,2,
He/She would benefit by participating more in class discussions.,1,,
He/She would benefit from working more carefully.,1,,
He/She takes pleasure in learning new facts and concepts.,3,,
His/Her continuous assessment shows improvement.,,,2
His/her essay writing skills are improving.,,2,
His/Her handwriting needs improvement!,,1,
His/Her homework is often poorly presented and incomplete.,,1,
His/Her performance has been hindered by inattentiveness in class.,1,,
His/Her performance in the examination is excellent.,,,3
His/Her result indicates a thorough understanding of the material covered.,,,3
His/Her work has improved after a weak start.,,2,
His/Her work indicates a very sound grasp of the material covered in class.,,,3
His/Her work is of a satisfactory standard.,,3,
His/Her written work has improved in quality.,,2,
His/Her written work is satisfactory.,,3,
Incorporating more detail into his/her written work would improve his/her grades.,2,2,
More attention to detail in written work would improve his/her grade.,1,,
More effort is needed to consolidate concepts.,1,,
More work is needed.,,,1
Much room for improvement!,,,1
Needs to develop and follow a regular schedule of revision.,2,,
The only thing he/she needs to improve is his/her handwriting!,,1,
This is a disappointing result!,,,1
Well done!,,,3
